OSNO (76, 892) 10 2 4 2 6 2 8 4 14 4 10 2 2 2 12 5 1 18
CS (126, 1244) (206, 1) - 1 5 18 4 18 4 18 4 18 5 1 25 6 29 1 5 22 5 1 29 6 24 4 12 2 6 2 12 2 6 2 12 2 4 2 16 4 20 5 1 27 4 8 2 12 4 24 6 29 1 5 22 4 14 4 22 5 1 29 6 24 4 12 2 6 2 14 4 20 4 14 2 6 2 12 4 24 6 29 1 5 22 4 14 4 22 5 1 29 6 24 4 12 2 8 4 27 1 5 20 4 16 2 4 2 12 2 6 2 12 2 6 2 12 4 24 6 29 1 5 22 5 1 29 6 25
CS (146, 1508) (206, 46) - 1 5 18 2 4 2 16 4 22 5 1 29 6 30 6 28 6 30 6 29 1 5 22 4 16 2 4 2 18 5 1 27 6 31 1 5 24 4 14 4 26 4 12 2 8 2 12 2 8 2 10 2 10 2 10 4 29 1 5 22 4 18 4 20 4 20 4 18 4 22 5 1 29 4 10 2 10 2 10 4 29 1 5 22 4 18 4 20 4 20 4 18 4 22 5 1 29 4 10 2 10 2 10 4 29 1 5 22 4 18 4 20 4 20 4 18 4 22 5 1 29 4 10 2 10 2 10 2 8 2 12 2 8 2 12 4 26 4 14 4 24 5 1 31 6 27
OSO (31, 369) (207, 3) - 1 5 22 4 18 4 20 4 20 4 18 4 22 4 16 4 24 6 33 1 5 26 6 31 1 6 1 23 5 1 30
CS (56, 652) (207, 198) - 1 5 22 4 16 2 4 2 18 4 18 2 4 2 16 4 22 5 1 29 6 30 6 28 4 10 2 12 4 26 5 1 33 6 24 4 18 4 18 4 24 6 33 1 5 26 4 12 2 10 4 28 6 30 6 29
CS (72, 684) (207, 79) - 1 5 18 4 18 4 18 4 16 4 20 4 14 2 6 2 10 2 8 2 10 2 6 2 14 4 20 4 16 4 18 4 18 4 18 5 1 25 4 10 2 10 4 24 4 12 4 22 4 14 4 22 5 1 30 1 5 22 4 14 4 22 4 12 4 24 4 10 2 10 4 25
CS (78, 1028) (207, 298) - 1 5 20 4 18 4 20 4 20 4 18 4 20 5 1 27 6 30 6 28 6 30 6 26 4 14 4 24 5 1 31 6 26 5 1 32 1 5 25 1 6 1 27 6 30 6 28 6 30 6 27 1 6 1 25 5 1 32 1 5 26 6 31 1 5 24 4 14 4 26 6 30 6 28 6 30 6 27
CS (80, 936) (207, 352) - 1 5 25 1 6 1 29 6 32 6 28 6 32 6 29 1 6 1 25 5 1 31 4 10 2 10 2 10 2 12 4 28 6 32 6 28 6 33 1 5 26 4 14 2 6 2 16 4 24 4 16 4 24 4 16 2 6 2 14 4 26 5 1 33 6 28 6 32 6 28 4 12 2 10 2 10 2 10 4 31
CS (84, 932) (207, 419) - 1 5 22 4 16 2 4 2 16 2 4 2 16 4 22 4 16 2 4 2 16 4 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 4 16 2 4 2 16 4 22 4 16 2 4 2 16 2 4 2 16 4 22 5 1 29 6 30 6 28 4 10 2 12 4 26 6 32 6 26 4 12 2 10 4 28 6 30 6 29
CS (84, 1028) (207, 23) - 1 5 24 4 14 4 26 6 32 6 26 6 32 6 26 6 33 1 5 26 4 12 2 8 2 12 2 6 2 16 4 20 2 2 2 16 2 2 2 20 4 16 2 6 2 12 2 8 2 12 4 26 5 1 33 6 26 6 32 6 26 6 32 6 26 4 14 4 24 5 1 31 6 28 6 30 6 28 6 30 6 28 6 31
CS (92, 1108) (207, 4) - 1 5 22 4 16 2 6 2 12 2 6 2 16 4 22 4 16 4 24 5 1 32 1 5 26 6 31 1 5 24 5 1 32 1 5 26 6 32 6 26 6 32 6 26 5 1 32 1 5 24 5 1 31 6 26 5 1 32 1 5 24 4 16 4 22 4 16 2 6 2 12 2 6 2 16 4 22 5 1 29 6 30 6 28 6 30 6 28 6 30 6 29
CS (98, 1060) (207, 3) - 1 5 23 1 6 1 30 1 5 23 1 6 1 30 1 5 24 6 32 6 24 6 32 6 24 5 1 30 1 6 1 23 5 1 30 1 6 1 23 5 1 31 6 24 4 14 2 6 2 12 2 6 2 14 4 24 6 31 1 5 24 6 31 1 6 1 21 4 18 4 18 4 21 1 6 1 31 6 24 5 1 31 6 24 4 14 2 6 2 12 2 6 2 14 4 24 6 31
CS (104, 1224) (207, 47) - 1 5 22 4 20 4 24 5 1 32 1 6 1 23 4 20 4 22 4 20 4 23 1 6 1 32 1 5 24 4 20 4 22 5 1 29 5 1 35 6 28 4 14 2 8 2 14 4 27 1 6 1 29 6 33 1 5 24 4 20 4 22 4 20 4 22 4 20 4 22 4 20 4 22 4 20 4 22 4 20 4 24 5 1 33 6 29 1 6 1 27 4 14 2 8 2 14 4 28 6 35 1 5 29
CS (116, 1260) (207, 21) - 1 5 20 4 16 2 4 2 14 4 22 4 16 4 18 4 20 4 16 4 21 1 6 1 30 1 5 24 6 30 6 24 4 14 4 22 4 14 4 24 6 30 6 24 5 1 30 1 6 1 21 4 16 4 20 4 18 4 16 4 22 4 14 2 4 2 16 4 20 5 1 27 6 29 1 5 22 4 14 4 24 5 1 31 6 24 4 12 2 8 2 10 4 26 4 10 2 8 2 12 4 24 6 31 1 5 24 4 14 4 22 5 1 29 6 27
CS (120, 1212) (207, 68) - 1 5 18 4 18 4 18 4 16 4 20 4 14 4 22 4 14 4 20 4 16 4 18 4 18 4 18 5 1 26 1 6 1 23 4 12 2 6 2 12 2 6 2 12 4 22 4 14 4 20 4 16 4 20 5 1 28 1 5 20 4 16 4 20 5 1 29 6 22 4 14 4 22 6 30 6 22 4 14 4 22 6 29 1 5 20 4 16 4 20 5 1 28 1 5 20 4 16 4 20 4 14 4 22 4 12 2 6 2 12 2 6 2 12 4 23 1 6 1 26
OSO (35, 369) (208, 28) - 1 5 20 2 2 2 20 4 18 2 4 2 16 2 6 2 14 4 26 5 1 33 6 28 6 33 1 5 25 1 6 1 31 6 29
OSO (35, 441) (208, 29) - 1 5 24 4 18 4 24 4 20 4 20 4 22 4 20 4 24 5 1 33 6 29 1 6 1 27 4 16 4 26 5 1 33 6 31
CS (52, 596) (208, 608) - 1 5 20 4 18 4 22 4 16 2 4 2 16 4 22 4 16 2 4 2 16 4 22 4 18 4 20 5 1 27 6 32 6 24 4 16 4 24 5 1 32 1 5 24 4 16 4 24 6 32 6 27
CS (52, 652) (208, 2) - 1 5 22 4 18 4 22 4 16 4 26 6 31 1 5 22 4 20 4 18 4 22 4 18 4 20 4 22 5 1 31 6 26 4 16 4 22 4 18 4 22 5 1 29 6 30 4 10 4 30 6 29
CS (56, 684) (208, 970) - 1 5 20 4 16 4 18 4 18 4 18 4 16 4 18 4 18 4 18 4 16 4 20 5 1 29 6 22 4 14 4 22 6 30 6 22 5 1 29 6 24 6 29 1 5 22 6 30 6 22 4 14 4 22 6 29
CS (56, 684) (208, 202) - 1 5 24 4 18 4 24 5 1 31 4 10 2 12 2 8 2 14 4 26 4 16 4 26 5 1 33 6 30 6 32 6 30 6 32 6 30 6 33 1 5 26 4 16 4 26 4 14 2 8 2 12 2 10 4 31
CS (60, 596) (208, 626) - 1 5 20 4 18 4 22 4 16 2 4 2 16 4 22 4 16 2 4 2 16 4 22 4 18 4 20 5 1 27 4 12 2 6 2 16 4 22 4 16 4 24 5 1 32 1 5 24 4 16 4 22 4 16 2 6 2 12 4 27
CS (60, 764) (208, 417) - 1 5 20 4 16 4 18 4 16 4 20 4 14 4 22 6 29 1 5 22 5 1 29 6 22 4 14 4 20 4 16 4 18 4 16 4 20 5 1 27 6 26 6 26 6 26 6 26 6 26 6 26 6 26 6 26 6 26 6 27
CS (64, 772) (208, 528) - 1 5 20 4 16 2 2 2 16 4 20 5 1 29 6 22 4 14 2 4 2 14 4 22 6 30 6 22 5 1 29 6 24 6 28 6 26 6 26 6 26 6 28 6 24 6 29 1 5 22 6 30 6 22 4 14 2 4 2 14 4 22 6 29
CS (66, 676) (208, 89) - 1 5 20 4 18 4 20 4 20 4 16 2 6 2 12 4 27 1 5 20 4 20 5 1 27 4 12 2 6 2 16 4 20 4 20 4 18 4 20 5 1 27 6 30 6 28 4 10 2 10 2 8 2 12 2 8 2 10 2 10 4 28 6 30 6 27
CS (66, 836) (208, 148) - 1 5 22 4 22 4 18 4 25 1 6 1 31 6 31 1 5 22 4 22 4 20 4 20 4 22 4 22 5 1 31 6 31 1 6 1 25 4 18 4 22 4 22 5 1 31 6 31 1 5 24 5 1 31 6 32 6 31 1 5 24 5 1 31 6 31
CS (68, 724) (208, 75) - 1 5 22 4 16 4 22 4 16 4 22 4 14 2 8 4 28 4 8 2 14 4 22 4 16 4 22 4 16 4 22 5 1 29 4 8 2 14 4 22 4 16 4 22 4 16 4 22 5 1 30 1 5 22 4 16 4 22 4 16 4 22 4 14 2 8 4 29
CS (68, 724) (208, 165) - 1 5 20 4 21 1 6 1 30 1 6 1 21 4 20 5 1 29 6 28 6 29 1 6 1 23 4 16 4 22 5 1 29 6 28 4 10 2 10 2 8 2 12 2 8 2 10 2 10 4 28 6 29 1 5 22 4 16 4 23 1 6 1 29 6 28 6 29
CS (68, 764) (208, 16) - 1 5 22 4 20 4 20 4 20 4 22 5 1 31 6 28 4 14 4 26 4 14 2 6 2 16 4 24 5 1 33 6 26 4 14 2 8 2 12 4 28 4 12 2 8 2 14 4 26 6 33 1 5 24 4 16 2 6 2 14 4 26 4 14 4 28 6 31
CS (68, 864) (208, 1034) - 1 5 20 5 1 27 6 28 6 24 5 1 31 6 22 4 14 4 22 4 14 4 22 6 31 1 5 24 6 28 6 26 4 10 4 26 6 28 6 24 5 1 31 6 22 4 14 4 22 4 14 4 22 6 31 1 5 24 6 28 6 27 1 5 20 5 1 28
CS (68, 864) (208, 63) - 1 5 26 4 16 4 26 4 16 4 26 4 16 4 26 4 16 4 26 5 1 33 6 30 4 12 4 30 4 12 4 30 6 33 1 5 26 4 16 4 27 1 6 1 28 1 6 1 27 4 16 4 26 5 1 33 6 30 4 12 4 30 4 12 4 30 6 33
CS (70, 716) (208, 436) - 1 5 24 4 16 2 8 2 10 2 12 2 8 2 14 4 27 1 6 1 28 1 6 1 28 1 6 1 27 4 14 2 8 2 12 2 10 2 8 2 16 4 24 5 1 31 6 32 6 29 1 6 1 27 4 14 4 28 4 14 4 27 1 6 1 29 6 32 6 31
CS (70, 788) (208, 26) - 1 5 22 2 2 2 18 4 24 4 16 2 8 2 12 4 30 6 33 1 5 26 4 18 4 22 4 22 4 18 4 26 5 1 33 6 30 4 12 2 8 2 16 4 24 4 18 2 2 2 22 5 1 29 4 14 4 28 4 14 4 28 4 14 4 28 4 14 4 29
CS (72, 720) (208, 32) - 1 5 20 4 16 4 21 1 7 31 1 5 22 4 14 4 24 6 29 1 5 20 4 18 4 18 4 16 2 4 2 14 2 2 2 18 2 2 2 14 2 4 2 16 4 18 4 18 4 20 5 1 29 6 24 4 14 4 22 5 1 31 7 1 21 4 16 4 20 5 1 28
CS (72, 772) (208, 2) - 1 5 22 4 20 4 22 4 20 4 20 4 23 1 6 1 32 1 5 24 4 18 4 24 4 16 2 4 2 20 4 20 4 20 2 4 2 16 4 24 4 18 4 24 5 1 32 1 6 1 23 4 20 4 20 4 22 4 20 4 22 5 1 30 1 6 1 26 1 6 1 30
CS (72, 772) (208, 191) - 1 5 18 4 18 4 16 2 2 2 16 4 20 4 14 4 21 1 6 1 30 1 5 24 6 28 6 24 5 1 30 1 6 1 21 4 14 4 20 4 16 2 2 2 16 4 18 4 18 5 1 26 1 6 1 25 6 26 6 28 6 24 6 28 6 26 6 25 1 6 1 26
CS (72, 836) (208, 82) - 1 5 24 4 16 2 6 2 16 4 24 4 16 2 6 2 16 4 24 5 1 31 6 31 1 5 24 5 1 31 6 30 4 10 2 14 4 26 5 1 33 6 29 1 6 1 26 1 6 1 29 6 33 1 5 26 4 14 2 10 4 30 6 31 1 5 24 5 1 31 6 31
CS (72, 900) (208, 73) - 1 5 20 4 16 2 6 2 10 2 10 2 10 4 26 6 30 6 26 6 31 1 5 24 4 14 4 24 5 1 31 6 26 6 30 6 26 4 10 2 10 2 10 2 6 2 16 4 20 5 1 27 6 30 6 26 6 30 6 26 6 30 6 26 6 30 6 26 6 30 6 27
CS (74, 996) (208, 48) - 1 5 26 4 16 4 27 1 6 1 27 4 16 4 26 5 1 33 6 30 6 32 6 32 6 32 6 30 6 33 1 5 26 4 16 4 27 1 6 1 27 4 16 4 26 5 1 33 6 30 6 33 1 5 26 4 16 4 27 1 6 1 27 4 16 4 26 5 1 33 6 30 6 33
CS (76, 652) (208, 191) - 1 5 22 4 18 4 20 2 2 2 16 4 24 6 33 1 5 26 4 12 2 8 2 12 2 8 2 10 2 10 2 10 2 10 2 8 2 12 2 8 2 10 2 10 2 10 2 10 2 8 2 12 2 8 2 12 4 26 5 1 33 6 24 4 16 2 2 2 20 4 18 4 22 5 1 30
CS (80, 836) (208, 450) - 1 5 20 4 16 2 6 2 12 4 26 6 30 6 26 4 12 2 6 2 16 4 20 5 1 27 4 10 2 12 4 24 4 12 2 10 4 27 1 6 1 25 5 1 32 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 32 1 5 25 1 6 1 27 4 10 2 12 4 24 4 12 2 10 4 27
CS (80, 1020) (208, 22) - 1 5 20 4 18 4 20 4 18 4 20 5 1 27 4 12 4 26 6 30 6 27 1 6 1 25 4 14 4 24 5 1 32 1 5 24 5 1 31 6 26 6 30 6 28 6 28 6 28 6 30 6 26 6 31 1 5 24 5 1 32 1 5 24 4 14 4 25 1 6 1 27 6 30 6 26 4 12 4 27
CS (82, 852) (208, 307) - 1 5 18 4 18 4 18 4 16 4 18 2 2 2 16 4 16 4 22 6 29 1 5 20 4 16 2 2 2 16 4 18 4 18 4 16 2 2 2 16 4 20 5 1 29 6 22 4 16 4 16 2 2 2 18 4 16 4 18 4 18 4 18 5 1 27 6 24 4 12 4 24 6 28 6 24 4 12 4 24 6 27
CS (84, 732) (208, 101) - 1 5 20 4 20 4 18 2 4 2 14 2 6 2 14 4 25 1 6 1 28 1 5 20 4 20 4 18 2 4 2 14 2 6 2 14 4 25 1 6 1 28 1 6 1 25 4 14 2 6 2 14 2 4 2 18 4 20 4 20 5 1 28 1 6 1 25 4 14 2 6 2 14 2 4 2 18 4 20 4 20 5 1 28
CS (84, 764) (208, 75) - 1 5 22 5 1 29 4 12 2 8 2 12 2 10 2 8 2 14 2 6 2 14 2 6 2 16 4 24 5 1 33 6 26 4 16 4 24 4 16 2 6 2 14 4 26 4 14 2 6 2 16 4 24 4 16 4 26 6 33 1 5 24 4 16 2 6 2 14 2 6 2 14 2 8 2 10 2 12 2 8 2 12 4 29
CS (84, 908) (208, 269) - 1 5 22 4 16 2 4 2 16 4 20 4 18 4 20 4 16 2 4 2 16 4 22 5 1 31 6 24 4 14 2 6 2 14 4 22 4 16 4 22 4 16 4 22 5 1 31 6 24 4 14 4 24 4 14 4 24 4 14 4 24 6 31 1 5 22 4 16 4 22 4 16 4 22 4 14 2 6 2 14 4 24 6 31
CS (84, 932) (208, 199) - 1 5 20 4 20 4 16 2 4 2 16 4 20 4 20 5 1 28 1 6 1 25 5 1 32 1 5 24 4 14 4 24 4 14 4 24 4 14 4 24 5 1 31 6 26 4 12 4 26 4 12 4 26 4 12 4 26 6 31 1 5 24 4 14 4 24 4 14 4 24 4 14 4 24 5 1 32 1 5 25 1 6 1 28
CS (84, 1096) (208, 134) - 1 5 23 1 6 1 31 6 28 6 30 6 28 6 30 6 30 6 28 6 30 6 28 6 31 1 6 1 23 5 1 31 6 26 4 14 4 26 6 31 1 6 1 23 4 16 4 24 6 33 1 5 25 1 6 1 29 6 29 1 6 1 25 5 1 33 6 24 4 16 4 23 1 6 1 31 6 26 4 14 4 26 6 31
CS (88, 904) (208, 377) - 1 5 22 4 14 4 22 4 14 4 23 1 6 1 28 1 6 1 23 4 14 4 22 5 1 30 1 6 1 21 4 16 4 20 4 16 4 20 4 16 4 20 4 16 4 20 4 16 4 20 4 16 4 20 4 16 4 21 1 6 1 30 1 5 22 4 14 4 23 1 6 1 28 1 6 1 23 4 14 4 22 4 14 4 22 5 1 30
CS (88, 920) (208, 16) - 1 5 18 2 2 2 16 4 18 4 16 4 20 4 16 4 18 4 16 2 2 2 18 5 1 27 6 26 6 26 6 26 6 28 6 24 6 29 1 5 22 4 12 2 6 2 12 2 6 2 12 4 23 1 6 1 26 1 6 1 23 4 12 2 6 2 12 2 6 2 12 4 22 5 1 29 6 24 6 28 6 26 6 26 6 26 6 27
CS (88, 920) (208, 1) - 1 5 18 2 2 2 18 4 18 4 20 4 18 4 18 2 2 2 18 5 1 27 6 30 6 24 4 14 2 6 2 12 2 6 2 14 4 24 6 31 1 5 24 6 31 1 6 1 21 4 18 4 18 4 20 4 18 4 18 4 21 1 6 1 31 6 24 5 1 31 6 24 4 14 2 6 2 12 2 6 2 14 4 24 6 30 6 27
CS (88, 928) (208, 69) - 1 5 18 4 18 2 2 2 16 4 18 4 18 4 18 5 1 25 6 29 1 5 22 5 1 29 6 24 5 1 30 1 5 22 5 1 28 1 5 20 4 16 4 20 4 16 4 20 5 1 28 1 5 22 5 1 30 1 5 24 6 29 1 5 22 5 1 29 6 25 1 5 18 4 18 4 18 4 16 2 2 2 18 4 18 5 1 26
CS (88, 952) (208, 33) - 1 5 18 4 20 5 1 29 6 24 5 1 31 6 22 4 14 2 6 2 12 4 24 4 10 2 10 2 8 2 10 2 8 2 10 2 10 4 24 4 12 2 6 2 14 4 22 6 31 1 5 24 6 29 1 5 20 4 18 5 1 27 6 26 6 30 6 22 4 16 4 20 5 1 28 1 5 20 4 16 4 22 6 30 6 26 6 27
CS (88, 1004) (208, 154) - 1 5 22 4 20 4 22 4 20 4 22 5 1 30 1 5 22 4 22 5 1 31 6 30 4 12 2 10 2 12 4 29 1 6 1 27 5 1 34 1 5 26 5 1 33 6 29 1 6 1 28 1 6 1 29 6 33 1 5 26 5 1 34 1 5 27 1 6 1 29 4 12 2 10 2 12 4 30 6 31 1 5 22 4 22 5 1 30
CS (88, 1072) (208, 71) - 1 5 24 5 1 31 6 28 6 30 6 28 6 31 1 5 24 5 1 32 1 5 26 6 32 6 27 1 6 1 26 1 6 1 27 6 32 6 26 5 1 33 6 24 4 16 2 2 2 20 4 18 2 2 2 18 4 20 2 2 2 16 4 24 6 33 1 5 26 6 32 6 27 1 6 1 26 1 6 1 27 6 32 6 26 5 1 32
CS (88, 1092) (208, 42) - 1 5 20 4 24 4 16 2 6 2 16 4 25 1 6 1 31 6 32 6 31 1 5 24 4 18 4 24 4 18 4 24 4 18 4 24 5 1 31 6 32 6 31 1 6 1 25 4 16 2 6 2 16 4 24 4 20 5 1 29 6 33 1 5 26 5 1 33 6 30 4 12 4 30 4 12 4 30 6 33 1 5 26 5 1 33 6 29
CS (88, 1112) (208, 44) - 1 5 20 4 22 5 1 30 1 5 22 4 20 5 1 27 4 14 4 26 6 32 6 26 4 14 2 6 2 16 4 22 5 1 29 6 30 6 30 6 28 4 12 4 28 6 31 1 5 24 4 16 4 24 5 1 31 6 28 4 12 4 28 6 30 6 30 6 29 1 5 22 4 16 2 6 2 14 4 26 6 32 6 26 4 14 4 27
CS (92, 820) (208, 291) - 1 5 22 4 16 4 22 4 16 4 22 4 16 4 22 5 1 29 6 28 4 10 2 8 2 12 2 8 2 10 2 8 2 12 2 6 2 14 4 24 5 1 31 6 26 4 12 2 6 2 14 2 6 2 12 2 6 2 14 2 6 2 12 4 26 6 31 1 5 24 4 14 2 6 2 12 2 8 2 10 2 8 2 12 2 8 2 10 4 28 6 29
CS (92, 960) (208, 6) - 1 5 18 2 4 2 16 4 22 4 16 2 4 2 18 5 1 27 6 31 1 5 24 4 14 2 8 2 10 2 10 2 10 4 29 1 5 22 4 18 4 20 4 20 4 20 4 18 4 22 5 1 29 6 30 6 29 1 5 22 4 18 4 20 4 20 4 20 4 18 4 22 5 1 29 4 10 2 10 2 10 2 8 2 14 4 24 5 1 31 6 27
CS (92, 968) (208, 88) - 1 5 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 5 1 27 4 10 2 12 4 24 4 14 4 24 4 14 4 24 4 12 2 10 4 27 1 5 20 4 18 4 20 4 18 4 21 1 6 1 30 1 6 1 21 4 18 4 20 4 18 4 20 5 1 27 4 10 2 12 4 24 4 14 4 24 4 14 4 24 4 12 2 10 4 27
CS (92, 988) (208, 43) - 1 5 22 4 20 4 22 4 18 2 6 2 14 4 28 4 14 4 28 6 35 1 5 28 4 14 2 8 2 12 2 10 2 10 2 10 2 14 4 26 4 16 4 26 4 16 4 26 4 14 2 10 2 10 2 10 2 12 2 8 2 14 4 28 5 1 35 6 28 4 14 4 28 4 14 2 6 2 18 4 22 4 20 4 22 5 1 29 6 34 6 29
CS (92, 1016) (208, 4) - 1 5 20 4 18 4 22 4 18 4 20 4 18 4 22 4 18 4 20 5 1 27 4 12 2 8 2 12 4 27 1 6 1 27 6 31 1 5 23 1 6 1 32 1 5 24 4 16 4 24 5 1 33 6 24 4 16 4 24 6 33 1 5 24 4 16 4 24 5 1 32 1 6 1 23 5 1 31 6 27 1 6 1 27 4 12 2 8 2 12 4 27
CS (92, 1148) (208, 5) - 1 5 22 4 20 4 22 4 18 2 4 2 18 4 22 4 18 4 26 6 35 1 5 28 6 34 6 28 6 34 6 28 6 34 6 28 5 1 35 6 26 4 18 4 22 4 18 2 4 2 18 4 22 4 20 4 22 5 1 30 1 6 1 27 5 1 34 1 5 24 4 20 4 20 4 22 4 20 4 20 4 24 5 1 34 1 5 27 1 6 1 30
CS (96, 1084) (208, 99) - 1 5 20 4 18 4 16 4 22 4 14 4 22 5 1 29 6 26 4 10 4 27 1 5 20 5 1 27 4 10 4 26 6 29 1 5 22 4 14 4 22 4 16 4 18 4 20 5 1 29 6 24 4 12 2 6 2 14 4 22 5 1 30 1 5 22 5 1 29 6 26 6 28 6 26 6 29 1 5 22 5 1 30 1 5 22 4 14 2 6 2 12 4 24 6 29
CS (96, 1124) (208, 23) - 1 5 22 5 1 29 6 32 6 28 6 33 1 5 24 4 18 2 2 2 20 4 18 4 24 4 16 4 25 1 6 1 30 1 5 24 5 1 32 1 5 25 1 6 1 30 1 6 1 25 5 1 32 1 5 24 5 1 30 1 6 1 25 4 16 4 24 4 18 4 20 2 2 2 18 4 24 5 1 33 6 28 6 32 6 29 1 5 22 5 1 29 6 32 6 29
CS (100, 1172) (208, 31) - 1 5 20 4 18 4 22 5 1 30 1 5 22 4 18 4 20 5 1 27 6 31 1 5 24 4 14 4 26 6 29 1 5 20 4 20 4 18 4 18 2 4 2 14 4 24 4 14 4 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 4 14 4 24 4 14 2 4 2 18 4 18 4 20 4 20 5 1 29 6 26 4 14 4 24 5 1 31 6 27
CS (100, 1204) (208, 56) - 1 5 20 4 20 4 16 4 24 5 1 32 1 5 25 1 6 1 27 6 30 6 28 6 28 6 29 1 5 20 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 20 4 20 5 1 29 6 28 6 28 6 30 6 27 1 6 1 25 5 1 32 1 5 24 4 16 4 20 4 20 5 1 27 4 12 4 27
CS (104, 940) (208, 121) - 1 5 18 4 18 4 16 2 4 2 12 2 6 2 12 4 23 1 6 1 26 1 5 18 4 18 4 18 4 16 4 20 4 14 4 22 4 12 2 6 2 12 2 6 2 12 4 22 4 14 4 20 4 16 4 18 4 18 4 18 5 1 26 1 6 1 23 4 12 2 6 2 12 2 4 2 16 4 18 4 18 5 1 26 1 5 18 4 18 4 18 5 1 26 1 5 18 4 18 4 18 5 1 26
CS (104, 1480) (208, 2) - 1 5 22 4 18 4 24 5 1 32 1 5 24 4 18 4 22 5 1 29 6 32 6 30 6 29 1 6 1 27 6 34 6 26 5 1 33 6 28 6 32 6 29 1 6 1 27 6 32 6 30 6 31 1 5 24 4 16 4 26 6 34 6 26 4 16 4 24 5 1 31 6 30 6 32 6 27 1 6 1 29 6 32 6 28 6 33 1 5 26 6 34 6 27 1 6 1 29 6 30 6 32 6 29
CS (108, 1332) (208, 71) - 1 5 22 5 1 29 6 24 4 14 2 6 2 12 4 24 5 1 31 6 24 6 31 1 5 24 5 1 31 6 24 6 31 1 5 24 5 1 31 6 24 6 31 1 5 24 5 1 31 6 24 6 31 1 5 24 5 1 31 6 24 6 31 1 5 24 4 12 2 6 2 14 4 24 6 29 1 5 22 5 1 30 1 5 24 5 1 31 6 24 6 31 1 5 24 5 1 31 6 24 6 31 1 5 24 5 1 30
CS (110, 1296) (208, 18) - 1 5 22 4 16 2 4 2 18 4 18 4 22 4 16 4 24 4 14 4 26 6 31 1 5 22 4 18 4 20 4 20 4 18 4 22 4 16 4 24 6 33 1 5 26 6 31 1 5 22 4 18 4 20 4 20 4 18 4 22 5 1 31 6 26 5 1 33 6 24 4 16 4 22 4 18 4 20 4 20 4 18 4 22 5 1 31 6 26 4 14 4 24 4 16 4 22 4 18 4 18 2 4 2 16 4 22 5 1 30
CS (112, 1208) (208, 32) - 1 5 20 4 18 4 20 4 18 4 20 4 18 4 18 4 22 5 1 30 1 6 1 23 4 16 4 22 5 1 30 1 5 22 5 1 30 1 5 22 4 16 4 22 4 16 4 22 4 16 4 22 5 1 30 1 5 22 5 1 30 1 5 22 4 16 4 23 1 6 1 30 1 5 22 4 18 4 18 4 20 4 18 4 20 4 18 4 20 5 1 28 1 6 1 25 5 1 32 1 5 24 5 1 32 1 5 25 1 6 1 28
CS (112, 1388) (208, 2) - 1 5 20 2 2 2 18 4 22 4 18 4 22 4 18 4 22 4 18 2 2 2 20 5 1 29 6 30 4 10 2 10 2 12 4 28 6 30 6 31 1 6 1 23 5 1 30 1 5 22 4 20 4 18 4 24 5 1 31 6 30 6 30 6 30 6 30 6 30 6 30 6 30 6 30 6 30 6 31 1 5 24 4 18 4 20 4 22 5 1 30 1 5 23 1 6 1 31 6 30 6 28 4 12 2 10 2 10 4 30 6 29
CS (112, 1472) (208, 7) - 1 5 24 4 14 4 26 4 12 4 28 6 30 6 28 6 30 6 28 6 30 6 29 1 6 1 25 5 1 33 6 24 4 16 4 22 4 18 4 20 4 20 4 18 4 20 4 20 4 18 4 22 4 16 4 24 6 33 1 5 25 1 6 1 29 6 30 6 28 6 30 6 28 6 30 6 28 4 12 4 26 4 14 4 24 5 1 31 6 28 6 30 6 28 4 10 2 10 2 10 2 10 2 10 4 28 6 30 6 28 6 31
CS (124, 1480) (208, 110) - 1 5 24 4 14 4 24 4 14 4 24 5 1 31 6 26 4 12 4 26 6 31 1 5 24 4 14 4 24 4 14 4 24 5 1 31 6 26 4 12 4 26 6 31 1 5 24 4 14 4 24 4 14 4 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 4 14 4 25 1 6 1 26 1 6 1 26 1 6 1 26 1 6 1 26 1 6 1 26 1 6 1 25 4 14 4 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31
OSO (31, 285) (209, 21) - 1 5 20 4 18 4 16 2 4 2 14 4 22 4 14 4 22 4 14 2 6 2 10 2 8 2 12 4 24 6 29
CS (48, 436) (209, 437) - 1 5 20 4 16 4 22 6 31 1 5 24 5 1 31 6 22 4 16 4 20 5 1 27 4 8 2 12 2 6 2 12 2 6 2 12 2 6 2 12 2 6 2 12 2 8 4 27
CS (60, 764) (209, 623) - 1 5 20 4 16 4 18 4 16 4 20 4 14 4 22 6 29 1 5 22 6 30 6 22 6 30 6 22 6 30 6 22 5 1 29 6 22 4 14 4 20 4 16 4 18 4 16 4 20 5 1 27 6 26 6 26 6 26 6 27
