0: 1 5 22 6 29, zy
267: 1 5 22 4 18 2 4 2 16 4 25 1 6 1 29 6 30 6 32 6 29, zy
268: 1 5 22 4 18 4 18 4 22 5 1 29 6 29 1 6 1 23 5 1 30, zy
269: 1 5 22 4 18 4 18 4 22 5 1 31 6 26 6 30 6 26 5 1 32, zy
270: 1 5 22 4 18 4 20 2 2 2 16 2 4 2 16 4 23 1 6 1 30, zy
271: 1 5 22 4 18 4 20 4 20 4 18 4 22 4 16 4 23 1 6 1 30, zy
272: 1 5 22 4 18 4 22 5 1 30 1 5 24 5 1 32 1 5 26 6 31, zy
273: 1 5 22 4 20 4 16 2 6 2 12 2 10 4 28 6 30 6 28 6 31, zy
274: 1 5 22 4 22 4 20 4 20 2 4 2 16 4 25 1 6 1 31 6 31, zy
275: 1 5 22 5 1 28 1 6 1 23 6 30 6 24 6 30 6 24 5 1 30, zy
276: 1 5 22 5 1 29 6 26 6 28 6 28 6 26 6 30 6 24 5 1 30, zy
277: 1 5 22 6 28 6 24 6 28 6 22 4 12 2 6 2 12 4 22 6 29, zy
278: 1 5 22 6 30 6 24 6 28 6 26 6 26 6 27 1 6 1 23 6 29, zy
279: 1 5 23 1 6 1 29 6 24 4 14 4 20 4 18 4 16 4 22 6 31, zy
280: 1 5 23 1 6 1 31 6 24 4 14 4 26 6 29 1 6 1 25 6 31, zy
281: 1 5 23 1 6 1 31 6 28 6 29 1 6 1 25 4 14 4 26 6 31, zy
282: 1 5 24 4 16 2 6 2 16 4 25 1 6 1 31 6 30 6 32 6 31, zy
283: 1 5 24 4 16 4 23 1 6 1 30 1 5 24 5 1 31 6 28 6 31, zy
284: 1 5 24 4 18 4 22 4 18 2 4 2 16 4 24 4 16 4 26 6 33, zy
285: 1 5 24 4 18 4 22 4 18 4 24 4 14 2 8 2 14 4 26 6 33, zy
286: 1 5 24 4 18 4 24 4 16 2 6 2 14 2 8 2 12 2 10 4 31, zy
287: 1 5 24 4 18 4 24 4 16 4 28 6 32 6 31 1 5 24 5 1 32, zy
288: 1 5 24 6 30 6 24 6 30 6 24 4 12 2 6 2 14 4 22 6 31, zy
289: 1 5 24 6 32 6 24 4 14 4 25 1 6 1 27 6 30 6 26 6 31, zy
290: 1 5 25 1 6 1 29 4 12 4 28 4 12 2 8 2 14 4 26 6 33, zy
291: 1 5 26 4 14 2 8 2 12 2 8 2 14 4 26 4 14 4 28 6 33, zy
292: 1 5 26 4 14 2 8 2 14 4 27 1 6 1 29 6 32 6 30 6 33, zy
293: 1 5 26 5 1 33 6 28 6 32 6 30 6 29 1 6 1 27 5 1 34, zy
294: 1 5 26 5 1 33 6 28 6 32 6 30 6 30 6 32 6 28 5 1 34, zy
295: 1 5 26 6 32 6 26 4 14 2 6 2 14 4 24 4 16 4 24 6 33, zy
296: 1 5 26 6 32 6 28 6 30 6 28 4 12 2 6 2 16 4 24 6 33, zy
297: 1 5 26 6 34 6 26 4 14 2 8 2 12 4 28 6 32 6 28 6 33, zy
298: 1 5 28 4 14 4 28 6 34 6 28 6 34 6 29 1 6 1 27 6 35, zy
299: 1 5 28 6 32 6 30 6 30 6 30 6 32 6 28 6 34 6 26 6 35, zy
300: 1 5 28 6 34 6 29 1 6 1 27 4 14 4 29 1 6 1 27 6 35, zy
301: 1 5 18 4 16 2 4 2 12 4 22 6 29 1 5 22 6 28 6 24 6 27, zy
302: 1 5 18 4 18 4 18 4 18 5 1 27 6 24 5 1 30 1 5 24 6 27, zy
303: 1 5 20 4 16 2 4 2 12 2 8 4 27 1 5 20 4 16 4 22 6 29, zy
304: 1 5 20 4 16 4 21 1 6 1 30 1 5 22 4 14 4 23 1 6 1 28, zy
305: 1 5 20 4 16 4 22 6 31 1 5 24 4 12 2 6 2 12 2 8 4 27, zy
306: 1 5 20 4 18 4 18 4 20 5 1 29 6 24 5 1 30 1 5 24 6 29, zy
307: 1 5 20 4 18 4 21 1 6 1 30 1 5 22 4 16 4 23 1 6 1 28, zy
308: 1 5 22 4 14 2 4 2 16 4 22 6 31 1 5 24 6 30 6 26 6 29, zy
309: 1 5 22 4 18 4 18 4 22 5 1 31 6 24 5 1 30 1 5 24 6 31, zy
310: 1 5 22 4 20 4 20 4 22 5 1 31 6 28 5 1 34 1 5 28 6 31, zy
311: 1 5 22 4 20 4 23 1 6 1 32 1 5 24 4 18 4 25 1 6 1 30, zy
312: 1 5 24 4 12 2 6 2 14 4 22 6 31 1 5 24 6 30 6 24 6 31, zy
313: 1 5 24 4 16 2 6 2 14 4 26 6 33 1 5 26 6 34 6 26 6 33, zy
314: 1 5 24 4 20 4 20 4 24 5 1 33 6 28 5 1 34 1 5 28 6 33, zy
315: 1 5 24 6 29 1 6 1 23 6 31 1 5 24 6 30 6 23 1 6 1 30, zy
316: 1 5 25 1 6 1 31 6 28 6 33 1 5 26 6 34 6 25 1 6 1 32, zy
317: 1 5 26 4 14 2 6 2 16 4 26 6 33 1 5 26 6 34 6 28 6 33, zy
318: 1 5 18 2 2 2 14 2 4 2 14 4 20 4 14 4 22 4 12 4 24 6 27, zy
319: 1 5 18 2 4 2 14 4 24 4 14 4 24 5 1 32 1 5 26 6 30 6 27, zy
320: 1 5 18 4 16 4 20 4 14 2 4 2 14 4 20 4 14 2 6 2 10 4 25, zy
321: 1 5 18 4 18 4 16 4 20 4 14 2 6 2 10 4 26 6 25 1 6 1 26, zy
322: 1 5 18 4 18 4 16 4 21 1 6 1 29 6 24 6 28 6 25 1 6 1 26, zy
323: 1 5 18 4 20 4 14 2 6 2 10 2 10 4 25 1 6 1 24 1 6 1 26, zy
324: 1 5 18 4 20 5 1 28 1 5 20 4 16 4 20 4 14 4 23 1 6 1 26, zy
325: 1 5 18 4 22 4 14 2 6 2 14 4 22 4 16 4 23 1 6 1 29 6 27, zy
326: 1 5 18 4 22 5 1 30 1 5 23 1 6 1 29 6 28 6 27 1 6 1 26, zy
327: 1 5 18 4 22 5 1 31 6 24 5 1 30 1 5 22 5 1 29 6 28 6 27, zy
328: 1 5 20 2 2 2 18 2 4 2 14 2 8 2 10 2 12 4 28 6 32 6 29, zy
329: 1 5 20 2 2 2 18 4 22 4 18 4 22 4 18 4 23 1 6 1 31 6 29, zy
330: 1 5 20 2 4 2 16 4 26 4 16 4 26 5 1 34 1 5 28 6 34 6 29, zy
331: 1 5 20 4 14 2 4 2 16 4 16 2 4 2 12 2 8 4 26 6 26 6 27, zy
332: 1 5 20 4 16 4 18 4 18 4 16 4 20 5 1 28 1 5 21 1 6 1 28, zy
333: 1 5 20 4 16 4 20 4 14 4 22 5 1 30 1 5 22 4 14 4 22 6 29, zy
334: 1 5 20 4 16 4 20 4 16 4 20 4 14 2 6 2 12 4 24 6 28 6 27, zy
